Key,Id,Shared Comments,English(en),English(en) Comments,Korean(ko),Korean(ko) Comments
ACHIEVEMENT-KILL_BOSS_1-DESC,,,Destroy the Boss for the first time,,Boss를 처음으로 파괴,
ACHIEVEMENT-KILL_BOSS_3-DESC,,,Destroy 3 Bosses,,Boss를 3기 파괴,
ACHIEVEMENT-KILL_BOSS_10-DESC,,,Destroy 10 Bosses,,Boss를 10기 파괴,
ACHIEVEMENT-KILL_BOSS_20-DESC,,,Destroy 20 Bosses,,Boss를 20기 파괴,
ACHIEVEMENT-KILL_BOSS_50-DESC,,,Destroy 50 Bosses,,Boss를 50기 파괴,
ACHIEVEMENT-KILL_BOSS_100-DESC,,,Destroy 100 Bosses,,Boss를 100기 파괴,
ACHIEVEMENT-KILL_MINION_1-DESC,,,Destroy a Minion for the first time,,Minion을 처음으로 파괴,
ACHIEVEMENT-KILL_MINION_20-DESC,,,Destroy 20 Minions,,Minion 20기 파괴,
ACHIEVEMENT-KILL_MINION_100-DESC,,,Destroy 100 Minions,,Minion 100기 파괴,
ACHIEVEMENT-KILL_MINION_200-DESC,,,Destroy 200 Minions,,Minion 200기 파괴,
ACHIEVEMENT-KILL_MINION_500-DESC,,,Destroy 500 Minions,,Minion 500기 파괴,
ACHIEVEMENT-KILL_MINION_1000-DESC,,,Destroy 1000 Minions,,Minion 1000기 파괴,
ACHIEVEMENT-UNLOCK_PERK_1-DESC,,,Unlock Perc for the first time,,퍼크를 처음으로 해금,
ACHIEVEMENT-UNLOCK_PERK_10-DESC,,,Unlock 10 Perks,,퍼크 10개를 해금,
ACHIEVEMENT-UNLOCK_PERK_30-DESC,,,Unlock 30 Perks,,퍼크 30개를 해금,
ACHIEVEMENT-UNLOCK_PERK_50-DESC,,,Unlock 50 Perks,,퍼크 50개를 해금,
ACHIEVEMENT-UNLOCK_PERK_72-DESC,,,Unlock 72 Perks (minimum upon completion),,퍼크 72개를(완성 시 최솟값) 해금,
ACHIEVEMENT-UNLOCK_PERK_120-DESC,,,Unlock 120 Perks (maximum upon completion),,퍼크를 120개(완성 시 최댓값) 해금,
TASK-DONE_TUTORIALS-DESC,,,Complete the tutorial,,튜토리얼 완료하기,
TASK-HIGHEST_STAGE_1-DESC,,,Reach Stage 1,,최고 스테이지 1 달성,
TASK-HIGHEST_STAGE_5-DESC,,,Achieve highest stage 5,,최고 스테이지 5 달성,
TASK-HIGHEST_STAGE_10-DESC,,,Achieve highest stage 10,,최고 스테이지 10 달성,
TASK-HIGHEST_STAGE_15-DESC,,,Achieve highest stage 15,,최고 스테이지 15 달성,
TASK-HIGHEST_STAGE_20-DESC,,,Achieve highest stage 20,,최고 스테이지 20 달성,
TASK-HIGHEST_STAGE_25-DESC,,,Achieve highest stage 25,,최고 스테이지 25 달성,
TASK-HIGHEST_STAGE_30-DESC,,,Achieve highest stage 30,,최고 스테이지 30 달성,
TASK-KILL_BOSS_1-DESC,,,Boss destroyed 1 time,,보스 파괴 1회,
TASK-KILL_BOSS_3-DESC,,,Destroy boss 3 times,,보스 파괴 3회,
TASK-KILL_BOSS_10-DESC,,,Destroy boss 10 times,,보스 파괴 10회,
TASK-KILL_BOSS_20-DESC,,,Destroy boss 20 times,,보스 파괴 20회,
TASK-KILL_BOSS_50-DESC,,,Destroy boss 50 times,,보스 파괴 50회,
TASK-KILL_BOSS_100-DESC,,,Destroy boss 100 times,,보스 파괴 100회,
TASK-KILL_MINION_1-DESC,,,Destroy a minion 1 time,,미니언 파괴 1회,
TASK-KILL_MINION_20-DESC,,,Destroy minions 20 times,,미니언 파괴 20회,
TASK-KILL_MINION_100-DESC,,,Destroy minions 100 times,,미니언 파괴 100회,
TASK-KILL_MINION_200-DESC,,,Destroy minions 200 times,,미니언 파괴 200회,
TASK-KILL_MINION_500-DESC,,,Destroy minions 500 times,,미니언 파괴 500회,
TASK-KILL_MINION_1000-DESC,,,Destroy minions 1000 times,,미니언 파괴 1000회,
TASK-UNLOCK_PERK_1-DESC,,,Open 1 perk,,퍼크를 1개 열기,
TASK-UNLOCK_PERK_10-DESC,,,Open 10 Perks,,퍼크를 10개 열기,
TASK-UNLOCK_PERK_30-DESC,,,Open 30 Perks,,퍼크를 30개 열기,
TASK-UNLOCK_PERK_50-DESC,,,Open 50 Perks,,퍼크를 50개 열기,
TASK-UNLOCK_PERK_72-DESC,,,Open 72 Perks (minimum completed),,퍼크를 72개(완성 최솟값) 열기,
TASK-UNLOCK_PERK_120-DESC,,,Unlock 120 Perks (maximum completed),,퍼크를 120개(완성 최댓값) 열기,
